rank,company,gross_mm,net_mm,freight_types
77,OpenRoad Global,229.0,38.0,"air/expedited, rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul, bulk/tank"
78,BlueGrace Logistics,225.0,40.0,"air/expedited, rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul, bulk/tank"
79,Longship,225.0,24.0,"air/expedited, dry van truckload, refrigerated, flatbed/heavy haul, bulk/tank"
80,Loadsmart,206.0,19.0,"air/expedited, rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul"
81,Titanium Transportation Group,195.0,36.0,"LTL, dry van truckload"
82,SPI Logistics,191.0,39.0,"rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul, bulk/tank"
82,Prosponsive Logistics,,,"air/expedited, rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul, bulk/tank"
84,Paul Logistics,177.0,20.0,flatbed/heavy haul
85,Sage Freight,176.0,,"rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul"
86,Radiant Logistics,172.0,28.0,"air/expedited, rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul, bulk/tank"
87,Koch Logistics,,,"air/expedited, LTL, dry van truckload"
87,Canada Cartage/The GTI Group,171.0,27.0,"LTL, dry van truckload, refrigerated, flatbed/heavy haul, drayage"
89,AMX Logistics,,,"air/expedited, LTL, dry van truckload, refrigerated, flatbed/heavy haul"
89,ODW Logistics,170.0,29.0,"air/expedited, rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul, bulk/tank"
89,Tallgrass Freight Co.,170.0,11.0,"rail/intermodal, LTL, dry van truckload, flatbed/heavy haul"
92,Fifth Wheel Freight,168.0,24.0,"air/expedited, rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul, bulk/tank"
93,Corporate Traffic Logistics,166.0,,"rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul, bulk/tank"
94,Motus Freight,165.0,23.0,"rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul, bulk/tank"
95,Penske Logistics,159.0,,"LTL, dry van truckload, refrigerated"
95,Destination Transport,159.0,23.0,"rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul"
97,FreightVana,155.0,20.0,"air/expedited, dry van truckload, refrigerated, flatbed/heavy haul"
97,Genpro,155.0,18.0,"rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul"
97,Best Logistics Group,155.0,,"air/expedited, rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul, bulk/tank"
100,Freedom Trans USA,153.0,7.0,"air/expedited, rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul"
